source_file,grammar_type,size,combined_diversity_score,avg_distinct_n,self_bleu
evaluation_sessions_set_k10_size50_20250915_233232.json,balanced,50,0.1748,0.1720,0.8225
evaluation_sessions_set_k10_size50_20250915_233232.json,high,50,0.1764,0.1835,0.8309
evaluation_sessions_set_k10_size50_20250915_233232.json,loose,50,0.1676,0.1528,0.8187
evaluation_sessions_set_k10_size100_20250915_234711.json,balanced,100,0.1639,0.1721,0.8446
evaluation_sessions_set_k10_size100_20250915_234711.json,high,100,0.1577,0.1645,0.8494
evaluation_sessions_set_k10_size100_20250915_234711.json,loose,100,0.1715,0.1863,0.8446
evaluation_sessions_set_k10_size200_20250916_000033.json,balanced,200,0.2050,0.1981,0.7883
evaluation_sessions_set_k10_size200_20250916_000033.json,high,200,0.1708,0.1776,0.8363
evaluation_sessions_set_k10_size200_20250916_000033.json,loose,200,0.1419,0.1231,0.8416
evaluation_sessions_set_k10_size300_20250916_001419.json,balanced,300,0.1873,0.1790,0.8047
evaluation_sessions_set_k10_size300_20250916_001419.json,high,300,0.1827,0.1859,0.8206
evaluation_sessions_set_k10_size300_20250916_001419.json,loose,300,0.2012,0.2120,0.8102
evaluation_sessions_set_k10_size500_20250916_003308.json,balanced,500,0.1914,0.1703,0.7897
evaluation_sessions_set_k10_size500_20250916_003308.json,high,500,0.2031,0.2048,0.7987
evaluation_sessions_set_k10_size500_20250916_003308.json,loose,500,0.1752,0.1681,0.8181
